time,link,display name,likes,shares,saves,comments
2022-03-02,https://www.tiktok.com/t/ZPREMPKLm/,Charlie Crist for Florida,390.8K,"9,932",12.4K,12.7K
2023-10-19,https://www.tiktok.com/t/ZPREMxbnr/,Meidas Touch,"2,289",46,123,327
2023-02-07,https://www.tiktok.com/t/ZPREMbamc/,MSNBC,131.3K,"6,459","6,763","7,065"
2024-05-03,https://www.tiktok.com/t/ZPREMAwpC/,Stevie💋,"2,535",698,255,177
2024-06-11,https://www.tiktok.com/t/ZPREMAPBH/,Bloomberg Politics,366,39,35,32
2023-12-17,https://www.tiktok.com/t/ZPREMADwA/,isupk.prison.dpt,162,162,64,40
2024-04-27,https://www.tiktok.com/t/ZPREMbgLy/,Ryan Joseph,"4,733",251,433,"2,081"
2024-06-18,https://www.tiktok.com/t/ZPREMbQqV/,cibao mix el criticador,1,Share,0,0
2024-06-11,https://www.tiktok.com/t/ZPREMAYYD/,OAN,163,54,22,109
2023-09-26,https://www.tiktok.com/t/ZPREM9bH7/,Patriot Ghost,49K,"6,626","4,675","2,853"
2023-11-02,https://www.tiktok.com/t/ZPREMpX9E/,NowThis Impact,42.9K,"1,355","1,776","1,565"
2021-11-05,https://www.tiktok.com/t/ZPREMGSdR/,topdoglaw,"1,222",26,170,20
2023-08-16,https://www.tiktok.com/t/ZPREMDTDf/,Stacey,217.7K,26.3K,16.7K,"3,432"
2022-01-31,https://www.tiktok.com/t/ZPREMCcK9/,Daria Rose,23.6K,139,738,252
2023-05-17,https://www.tiktok.com/t/ZPREMb7Xm/,Tamir Haimov,524.3K,"1,847",27.6K,"2,310"
2024-01-14,https://www.tiktok.com/t/ZPREMVRXw/,San Diego Grandma,304,2,8,72
2022-06-13,https://www.tiktok.com/t/ZPREMGD7q/,Trump and Biden recaps,23.2K,45,"1,139",292
2023-05-20,https://www.tiktok.com/t/ZPREMSTPY/,Free State of Florida,91.5K,"3,979","3,621","5,114"
2023-09-04,,USA 2024,327.5K,18.3K,30.3K,"3,440"
2023-03-08,https://www.tiktok.com/t/ZPREMa2ew/,David Pakman,83.1K,"2,733","3,473","2,473"
2023-03-28,https://www.tiktok.com/t/ZPREMp1AD/,MAGA 👑 KING 👑 🇺🇸,"3,769",905,609,633
2022-08-19,,Eron Rea,309,27,8,35
2023-12-07,https://www.tiktok.com/t/ZPREMHy35/,Republicanlatina03,"2,841",137,183,126
2023-06-01,https://www.tiktok.com/t/ZPREM5mrq/,MSNBC,31.6K,"1,883","1,560","2,092"
2024-03-26,https://www.tiktok.com/t/ZPREM4Ufy/,CBS Mornings,"3,394",653,204,950
2024-04-29,https://www.tiktok.com/t/ZPREMA8gb/,we are mitu,55.1K,"4,311","3,988","2,920"
2023-11-30,https://www.tiktok.com/t/ZPREMV8Am/,MeidasTouch,116.5K,"7,184","6,094",13.4K
2023-11-30,https://www.tiktok.com/t/ZPREMpNVo/,The Now Up,40.2K,"2,429","2,608",10.1K
2024-01-10,https://www.tiktok.com/t/ZPREMaSUy/,tomontana2,59,6,6,2
2024-05-14,https://www.tiktok.com/t/ZPREMxBQN/,NBCSouthFlorida,410,23,29,39
2022-08-24,https://www.tiktok.com/t/ZPREMQPbx/,The Branch,49.4K,442,"1,757","1,027"
2024-03-28,https://www.tiktok.com/t/ZPREMsWrd/,Current Affairs,30.3K,"3,012","3,150","4,871"
2023-11-20,https://www.tiktok.com/t/ZPREMHRHv/,Brut.,19.4K,"1,403","2,102","2,473"
2021-03-09,https://www.tiktok.com/t/ZPREMpRLw/,Bloomberg Law,"2,841",20,65,12
2024-04-13,https://www.tiktok.com/t/ZPREMsfrB/,An1h0ny,"2,297",93,139,531
2024-04-22,https://www.tiktok.com/t/ZPREMVAFX/,queenbeenine,"6,858",562,417,609
2023-07-11,https://www.tiktok.com/t/ZPREMsqkE/,Kat Abu,103.2K,"2,435","5,570","2,552"
2023-08-26,https://www.tiktok.com/t/ZPREMC2mm/,Ralph Charfauros,"9,422",572,754,484
2024-03-08,https://www.tiktok.com/t/ZPREMPXHK/,NewsNation,"6,131",333,485,"1,323"
2023-06-21,https://www.tiktok.com/t/ZPREMDFPH/,newformofflight,"1,729",492,260,83
2023-09-07,https://www.tiktok.com/t/ZPREMVGrB/,TheEliteLevel,"2,352",78,295,253
2024-02-19,https://www.tiktok.com/t/ZPREM9op5/,Fact Check This,"7,264","1,623","1,446",848
2023-07-03,https://www.tiktok.com/t/ZPREMCoQu/,abigail,10.4K,41,663,869
2024-01-23,https://www.tiktok.com/t/ZPREMxxSw/,David Won’t Shut Up!,43.4K,"1,229","1,518","3,137"
2024-01-22,https://www.tiktok.com/t/ZPREMD4Wh/,MSNBC,"2,843",220,206,457
2023-06-19,https://www.tiktok.com/t/ZPREMU4Bn/,Tucker Carlson Uncensored,56.8K,"1,926","5,511",779
2023-10-05,https://www.tiktok.com/t/ZPREMuyum/,Libertarian Party,"2,711",391,647,110
2023-05-16,https://www.tiktok.com/t/ZPREMbj8J/,BU,292.6K,25K,16.2K,13.2K
