time,link,display name,likes,shares,saves,comments
2024-06-19,https://www.tiktok.com/t/ZPREkegK7/,Bigbig9796_,52.7K,968,"3,531",825
2024-05-22,https://www.tiktok.com/t/ZPREhcEG8/,Adam West,"6,983",440,678,609
2024-06-20,https://www.tiktok.com/t/ZPREhGjpg/,Joey Contino,"3,443",27,174,453
2024-06-03,https://www.tiktok.com/t/ZPREkJGtB/,FreedomTilVahalla,464,49,36,48
2023-07-26,https://www.tiktok.com/t/ZPREhcbB4/,The Sun,"6,003",112,398,747
2024-02-08,,Global Impulse,12.2K,783,"1,255","1,119"
2023-02-17,https://www.tiktok.com/t/ZPREhGpn9/,Ssoso.Z,17.6K,690,708,
2024-05-23,https://www.tiktok.com/t/ZPREkRjMH/,Newsweek,81.5K,"6,068","9,225","5,538"
2024-06-20,https://www.tiktok.com/t/ZPREh3TrU/,Daily Mail,436.1K,63.1K,35.3K,"9,581"
2024-06-20,https://www.tiktok.com/t/ZPREk1dQn/,Daily Mail,126.2K,"8,022","7,716","2,617"
2024-06-19,https://www.tiktok.com/t/ZPREh3knq/,Daily Mail,332.6K,57.7K,19.6K,"7,850"
2024-02-22,https://www.tiktok.com/t/ZPREhVBjb/,Frontline Focus,"2,301",229,435,80
2024-06-14,https://www.tiktok.com/t/ZPREhb4Sq/,Proper Mike,388,16,30,61
2023-05-03,https://www.tiktok.com/t/ZPREke8PK/,#DigitalDiplomacy,"1,311",115,139,176
2023-09-13,,Philip DeFranco,291.2K,"2,656",15.4K,"2,885"
2024-01-18,https://www.tiktok.com/t/ZPREhcudh/,Middle East Eye,18.4K,802,"1,889","3,259"
2023-10-04,https://www.tiktok.com/t/ZPREhK1qJ/,TheVegasDude,719,11,71,234
2024-04-28,https://www.tiktok.com/t/ZPREh4JmW/,genzwire,441,145,57,83
2024-06-20,https://www.tiktok.com/t/ZPREhsW9T/,Daily Mail,"9,915",697,658,322
2023-09-18,https://www.tiktok.com/t/ZPREhn9A5/,VICE News,63.1K,405,"3,407",490
2024-06-19,https://www.tiktok.com/t/ZPREhnRjj/,VPutin,18K,680,"1,501",975
2022-06-08,https://www.tiktok.com/t/ZPREkejMt/,BreakThrough News,51.7K,"1,936","4,822","2,038"
2023-09-04,,Haroon Khan,30.5K,527,"3,747","1,411"
2024-06-21,https://www.tiktok.com/t/ZPREhKTYA/,Daily Mail,"5,748",57,293,165
2024-06-19,https://www.tiktok.com/t/ZPREhqFTf/,dilyec34145,135,Share,9,12
2024-06-22,https://www.tiktok.com/t/ZPREhsDhK/,Geo Politics Insider,381,254,68,20
2024-06-19,https://www.tiktok.com/t/ZPREhtFLC/,Daily Mail,20.2K,784,"1,330",813
2024-02-17,https://www.tiktok.com/t/ZPREho8Tw/,ZIZI,26K,"5,988","2,339","1,662"
2024-06-20,https://www.tiktok.com/t/ZPREkJ9BA/,Daily Mail,180.5K,28.2K,10.3K,"3,151"
2024-04-27,https://www.tiktok.com/t/ZPREhKjm6/,SuperPolitics,44K,256,"3,705",372
2023-09-30,https://www.tiktok.com/t/ZPREhbpKX/,GuitarMyles,"7,464",844,"1,154",999
2023-11-16,https://www.tiktok.com/t/ZPREhXuUw/,TRT World,103.4K,"8,685",12.8K,16.3K
2024-06-25,https://www.tiktok.com/t/ZPREh3B1p/,All natural smile,0,Share,0,0
2024-06-20,https://www.tiktok.com/t/ZPREhKmJS/,Hunter Biden’s Laptop 2.0,21.1K,23.2K,"2,626",15.2K
2024-06-19,https://www.tiktok.com/t/ZPREhs9d9/,Al Jazeera English,49.8K,"1,727","2,829","1,798"
