time,link,display name,likes,shares,saves,comments
2024-06-19,https://www.tiktok.com/t/ZPRErR8AA/,Luis J Casado Reyes(M.A.Psy).,10,Share,0,0
2024-05-20,https://www.tiktok.com/t/ZPRErR5BW/,therightside,778,71,64,111
2024-01-10,https://www.tiktok.com/t/ZPRErJKn2/,MSNBC,26.3K,"1,244","1,254","2,087"
2023-09-19,https://www.tiktok.com/t/ZPREr1mpo/,Unapologetic MF,172,14,22,11
2024-03-05,https://www.tiktok.com/t/ZPREMTErU/,The Mad Hatter,71.6K,"1,700","5,772","5,200"
2024-03-30,https://www.tiktok.com/t/ZPRErNjLd/,WHAT HISTORY!,182.1K,659,"8,831",820
2023-11-04,https://www.tiktok.com/t/ZPREMv1Wb/,Farron Balanced News,"4,875",112,247,472
2024-05-17,https://www.tiktok.com/t/ZPREMoCNr/,Ryan Joseph,38.8K,"4,522","2,926","3,701"
2024-06-13,https://www.tiktok.com/t/ZPREMcV5g/,HYGO News,39.8K,"1,948","2,904","4,192"
2020-12-10,https://www.tiktok.com/t/ZPRErJGL9/,The Good Liars,2.8M,63.1K,52K,37.7K
2023-08-16,https://www.tiktok.com/t/ZPRErjSk2/,Ibrahim Geidam,327.9K,"1,329",19.1K,0
2023-04-11,https://www.tiktok.com/t/ZPREMTpY8/,The Claville Report,54,1,1,47
2023-07-07,https://www.tiktok.com/t/ZPREr1ekN/,Bob DiBuono,44.6K,"6,983","2,541","2,473"
2024-02-06,https://www.tiktok.com/t/ZPRErRHVD/,Donald Trump Activist,32.6K,"1,506","2,648","1,544"
2023-06-07,https://www.tiktok.com/t/ZPREMEW2R/,USA 2024,"9,021",262,998,216
2024-04-13,https://www.tiktok.com/t/ZPREMn4Ek/,Freddie Smith,103.5K,"3,694","7,321","4,452"
2023-11-02,https://www.tiktok.com/t/ZPREMWtKF/,NowThis Impact,42.9K,"1,355","1,776","1,565"
2020-10-25,https://www.tiktok.com/t/ZPRErYCGw/,rgomusicly,571.8K,"3,875",13.1K,"9,165"
2023-09-02,https://www.tiktok.com/t/ZPREMwW2e/,BradyYourTutor,701.2K,"1,635",22.9K,"1,979"
2023-08-04,https://www.tiktok.com/t/ZPREME3uS/,CBS Mornings,25.3K,922,"1,177","9,098"
2024-01-22,https://www.tiktok.com/t/ZPRErRcjQ/,MSNBC,"2,844",220,206,457
2023-02-07,https://www.tiktok.com/t/ZPREMT4h1/,ᑕᗩᑭTIᐯᗩTIᑎG_ᑕOᑎᔕEᖇᐯᗩTIᐯE,"8,518",372,947,214
2023-09-04,https://www.tiktok.com/t/ZPRErenGY/,USA 2024,327.8K,18.3K,30.3K,"3,447"
2024-06-18,https://www.tiktok.com/t/ZPRErY5J2/,Story Time,3,Share,2,3
2023-06-19,https://www.tiktok.com/t/ZPRErdDyL/,Tucker Carlson Uncensored,56.9K,"1,927","5,524",780
2022-12-25,https://www.tiktok.com/t/ZPREMcaVV/,Stewie,88.6K,600,"9,382",360
2024-05-30,https://www.tiktok.com/t/ZPREMvrEc/,michellebackus_,"9,792",784,320,"2,853"
2023-06-11,https://www.tiktok.com/t/ZPRErdtmn/,ZeroAgendas,"1,576",136,111,82
2024-01-22,https://www.tiktok.com/t/ZPREMTcxw/,RepublicanVotersAgainstTrump,40.3K,"2,996","2,159","4,875"
2023-02-11,https://www.tiktok.com/t/ZPRErJSVK/,EternalSkeptic,336,41,32,21
2024-03-24,,Dream for America,"7,720",693,651,14K
2024-01-30,https://www.tiktok.com/t/ZPRErdprG/,The Ring of Fire,"2,026",10,71,70
