time,link,display name,likes,shares,saves,comments
2023-07-12,https://www.tiktok.com/t/ZPREhca45/,christiannationalistnews,"5,204",605,320,362
2021-05-31,https://www.tiktok.com/t/ZPREkegRL/,Harry,44.7K,779,"1,416",702
2024-06-15,https://www.tiktok.com/t/ZPREhXKue/,Hot News,"2,973",45,218,341
2023-01-27,https://www.tiktok.com/t/ZPREhn8je/,Felice,13.9K,409,387,984
2024-04-28,https://www.tiktok.com/t/ZPREhq9v7/,Jilu,666,12,28,25
2024-02-29,https://www.tiktok.com/t/ZPREhtfcR/,5280Veteran4.0,755,94,62,69
2023-01-05,https://www.tiktok.com/t/ZPREhqux1/,NowThis Impact,261K,"8,830","9,139","6,398"
2023-10-05,https://www.tiktok.com/t/ZPREhTU9w/,CNN,21K,"2,135","1,085","1,140"
2023-02-28,,therecount,240.9K,15.4K,"9,644","4,545"
2023-01-06,https://www.tiktok.com/t/ZPREht2sX/,4ThePeopleByThePeople,17.4K,634,"1,353","1,402"
2023-10-09,https://www.tiktok.com/t/ZPREhXyvt/,usa2024news,23.7K,"1,889","2,196","3,640"
2023-09-20,https://www.tiktok.com/t/ZPREhsWGb/,Kara,"4,159",73,180,596
2023-09-08,https://www.tiktok.com/t/ZPREhGXTe/,HumanDilemma,40.8K,"4,934","2,955","2,950"
2022-10-19,https://www.tiktok.com/t/ZPREhWFvn/,Rising Path Music,"1,204",20,29,51
2023-09-25,https://www.tiktok.com/t/ZPREk1NQc/,briantylercohen,24.4K,507,"1,080","1,473"
2023-05-22,https://www.tiktok.com/t/ZPREhwC91/,RAN_DUMB,"1,335",125,191,35
2024-05-28,https://www.tiktok.com/t/ZPREhvmRP/,Greg political content & deals,"2,212",158,115,575
2024-05-01,,FlyForFreedom1776,37.8K,853,"3,212","2,212"
2024-05-25,https://www.tiktok.com/t/ZPREhsPvP/,MSNBC,60.8K,"4,251","2,646","1,999"
2023-01-06,,FloridaPatriot,44.8K,"2,003","1,275","5,015"
2023-10-03,https://www.tiktok.com/t/ZPREhE8mA/,C-SPAN,13.9K,516,758,"1,625"
2023-09-14,https://www.tiktok.com/t/ZPREhXbrS/,Liberal,25.2K,494,"1,376","1,426"
2023-10-03,https://www.tiktok.com/t/ZPREh72wg/,Sky News,"7,126",416,436,840
2024-05-16,https://www.tiktok.com/t/ZPREhKw8b/,🇺🇲Kentuckygirl🇺🇲,481,15,12,43
2023-06-04,https://www.tiktok.com/t/ZPREkJrDL/,NEWS.Live,"8,906",202,459,"2,108"
2023-03-01,https://www.tiktok.com/t/ZPREhTbq3/,Yahoo News,"1,892",68,105,189
2024-04-22,https://www.tiktok.com/t/ZPREhTbuQ/,Ur.Deli.facts,57K,"4,843","5,540","2,661"
2023-11-01,https://www.tiktok.com/t/ZPREhsDqe/,usa2024news,10.8K,240,707,267
2024-06-17,https://www.tiktok.com/t/ZPREhpLHh/,RedShorts,207,16,17,23
2023-10-02,https://www.tiktok.com/t/ZPREhbtMP/,Ilhan Omar,11.6K,342,853,"1,772"
2022-07-25,https://www.tiktok.com/t/ZPREhKmtD/,MSNBC,13.5K,912,614,875
2022-07-14,https://www.tiktok.com/t/ZPREkJKwf/,therecount,17.1K,583,927,"1,488"
2023-02-28,https://www.tiktok.com/t/ZPREhWGYK/,MeidasTouch,130.4K,14K,"5,988","4,624"
2021-04-02,https://www.tiktok.com/t/ZPREh3AbV/,Salina Harris,398,7,4,61
2024-06-04,https://www.tiktok.com/t/ZPREhvVvX/,Vital Albert,12.3K,518,933,"4,386"
2021-03-25,https://www.tiktok.com/t/ZPREhb5Lj/,cbsnews,2.8M,142.2K,78K,98.9K
